                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.56736,                0.55039,                 0.8937,                      1,                 0.8054,                0.88647,                0.75328,                0.66417,                0.70177,                 1.0064,              0.0012278,              0.0012278,              0.0012278
                    120,                 0.6686,                0.66099,                0.89336,                0.99903,                0.80952,                0.87797,                0.74402,                0.66173,                0.70015,                0.99909,              0.0012212,              0.0012212,              0.0012212
                    121,                0.55747,                0.54496,                0.87464,                0.99903,                0.80952,                0.87797,                0.74402,                0.66173,                0.70015,                0.99909,              0.0012146,              0.0012146,              0.0012146
                    122,                0.54205,                 0.5562,                0.86468,                0.99328,                0.80952,                0.88403,                0.75079,                0.65021,                0.71839,                 1.0059,               0.001208,               0.001208,               0.001208
                    123,                0.58848,                0.55565,                 0.9242,                      1,                 0.8557,                0.88864,                0.75079,                0.63709,                0.69072,                0.99369,              0.0012014,              0.0012014,              0.0012014
                    124,                0.55549,                0.52272,                0.85783,                0.94136,                0.85714,                0.89101,                0.74996,                0.63047,                0.65758,                0.98074,              0.0011948,              0.0011948,              0.0011948
                    125,                0.61386,                0.57287,                0.92105,                0.94136,                0.85714,                0.89101,                0.74996,                0.63047,                0.65758,                0.98074,              0.0011882,              0.0011882,              0.0011882
                    126,                0.54819,                0.54982,                0.94206,                      1,                0.85437,                0.88877,                0.76639,                 0.6232,                0.65823,                0.97739,              0.0011816,              0.0011816,              0.0011816
                    127,                0.63096,                0.60036,                0.97005,                0.99581,                0.85714,                0.91783,                0.77244,                0.62972,                0.68174,                0.99033,               0.001175,               0.001175,               0.001175
                    128,                0.51431,                0.55845,                0.94068,                0.99124,                0.85714,                0.90924,                0.76917,                0.64656,                0.69951,                 1.0246,              0.0011684,              0.0011684,              0.0011684
